Jahr	Büros zu Wohnungen	(Dachstock-) Ausbauten	Saldo aus Zusammenlegungen/ Aufteilungen	Sonstige Umnutzungen	Zweckentfremdungen von Wohnungen	Umbausaldo
2008	11	19	-64	22	-16	-28
2009	34	6	-51	2	-10	-18
2010	7	40	-64	18	-19	-18
2011	17	37	-22	0	-14	18
2012	34	21	-30	10	-7	28
2013	4	32	-25	31	-6	35
2014	110	72	-25	31	-8	180
2015	7	63	-17	9	-37	25
2016	26	56	-1	33	-8	106
2017	8	60	-12	6	-8	54
2018	16	22	13	32	-16	67
2019	116	42	15	28	-43	158
2020	25	79	42	77	-4	219
2021	156	32	26	11	-3	222
2022	21	66	10	311	-3	405
2023	11	40	-28	129	-3	140
2024	280	98	16	45	-2	437
2025	144	55	17	97	-2	311
