""	"Hausmeisterdienste"	"Reinigung von Gebäuden, Strassen und Verkehrsmitteln"	"Garten- und Landschaftsbau, sonst. gärtnerische DL"
2013	489.2	2759.6	155.3
2014	447.6	2878.4	150.9
2015	493.2	2929.4	149.9
2016	459.0	2964.0	142.7
2017	510.9	3044.4	150.4
2018	514.3	2842.3	160.2
2019	479.1	2591.0	158.9
2020	525.8	2435.7	162.9
2021	553.1	2471.1	149.3
2022	640.7	2443.0	174.1

