"Statistik"	"Zu Fuss"	"Velo"	"MIV"	"ÖV"	"Übrige"
"2010: Etappen pro Tag   Anzahl"	3.2526782	0.6109837	0.7656544	1.2702954	0.0596431
"2015: Etappen pro Tag   Anzahl"	2.9214036	0.6141527	0.8338522	1.283706	0.0619608
"2021: Etappen pro Tag   Anzahl"	2.3302841	0.6437951	0.6669503	0.7476092	0.0433991
"."	""	""	""	""	""
"2010: Tagesunterwegszeit   in Minuten"	38.444439	8.3670952	15.563063	18.169132	1.1691897
"2015: Tagesunterwegszeit   in Minuten"	31.35447	8.9492522	17.15333	17.745773	1.0578035
"2021: Tagesunterwegszeit   in Minuten"	35.488214	10.477397	14.008216	10.705307	0.6956573
".."	""	""	""	""	""
"2010: Tagesdistanz   in Kilometer"	2.4660112	1.7253601	10.058921	9.922729	0.4428068
"2015: Tagesdistanz   in Kilometer"	2.0930536	1.6884046	11.594023	11.610472	0.268806
"2021: Tagesdistanz   in Kilometer"	2.1766692	2.1633652	9.0255171	6.1944466	0.1844267

