"Wohnviertel_ID Wohnviertel_Name"		"Anteil Personen über 64 Jahre in %"	"Anzahl Personen über 64 Jahre"
"1"	"Altstadt Grossbasel"	21.13	581
"2"	"Vorstädte"	21.62	1079
"3"	"Am Ring"	19.59	2248
"4"	"Breite"	20.02	1867
"5"	"St. Alban"	22.64	2850
"6"	"Gundeldingen"	16.15	3105
"7"	"Bruderholz"	22.25	2138
"8"	"Bachletten"	22.25	3063
"9"	"Gotthelf"	22.07	1561
"10"	"Iselin"	16.08	2901
"11"	"St. Johann"	15.78	3087
"12"	"Altstadt Kleinbasel"	20.31	495
"13"	"Clara"	20.32	896
"14"	"Wettstein"	19.01	1108
"15"	"Hirzbrunnen"	22.30	2155
"16"	"Rosental"	9.46	735
"17"	"Matthäus"	14.50	2199
"18"	"Klybeck"	15.01	1066
"19"	"Kleinhüningen"	20.36	565
"20"	"Riehen"	25.33	5737
"30"	"Bettingen"	25.04	327

