Jahr	Anzahl Anzeigen
2009	107.7
2010	104.1
2011	114.8
2012	139.8
2013	123.0
2014	109.4
2015	106.3
2016	106.5
2017	110.1
2018	103.0
2019	106.0
2020	100.0
2021	111.9
2022	123.5
2023	138.5
