""	"Lagerei"	"Erbringung von sonst. DL für den Landverkehr"	"Erbringung von sonst. DL für die Schifffahrt"	"Erbringung von sonst. DL für die Luftfahrt"	"Frachtumschlag"	"Erbringung von sonst. DL für den Verkehr a. n. g."	"Postdienste von Universaldienstleistungsanbietern"	"Sonstige Post-, Kurier- und Expressdienste"
2011	186.3	77.0	110.4	507.9	30.9	2551.7	758.7	855.1
2012	178.3	73.8	104.9	598.9	31.2	2421.6	758.6	834.4
2013	169.3	71.9	101.9	606.7	30.0	2311.1	781.6	693.0
2014	167.3	81.9	98.0	605.6	27.9	2134.1	754.9	682.8
2015	159.0	52.4	96.0	620.7	29.3	1909.8	736.2	648.7
2016	155.0	65.2	109.5	666.5	25.8	1619.8	732.8	671.6
2017	142.1	59.3	108.0	677.6	25.2	1625.4	610.7	442.6
2018	58.1	53.0	137.0	689.3	22.5	1828.8	555.0	435.4

