Alter	Männer	Frauen
0-4	63	68
5-9	71	55
10-14	71	71
15-19	69	58
20-24	74	91
25-29	94	89
30-34	122	110
35-39	110	102
40-44	95	97
45-49	88	85
50-54	95	92
55-59	100	91
60-64	118	84
65-69	72	76
70-74	47	72
75-79	53	45
80-84	31	48
85-89	20	30
90-94	8	17
95 u.m.	2	9
