Wohnviertel_Id	Altersquotient	Rang	Wohnviertel	jahr_num
16	0.126899017	1	Rosental	2015
17	0.1688927187	2	Matthäus	2015
18	0.2014227642	3	Klybeck	2015
6	0.2169818428	4	Gundeldingen	2015
11	0.2272119544	5	St. Johann	2015
10	0.2552763819	6	Iselin	2015
12	0.2751599767	7	Altstadt Kleinbasel	2015
19	0.2821782178	8	Kleinhüningen	2015
1	0.2966150316	9	Altstadt Grossbasel	2015
14	0.3052230686	10	Wettstein	2015
13	0.3268438787	11	Clara	2015
4	0.3311619718	12	Breite	2015
9	0.3506920009	13	Gotthelf	2015
3	0.357468727	14	Am Ring	2015
8	0.3713899472	15	Bachletten	2015
2	0.379525593	16	Vorstädte	2015
30	0.4207492795	17	Bettingen	2015
7	0.4418511066	18	Bruderholz	2015
15	0.4476663357	19	Hirzbrunnen	2015
20	0.4886212698	20	Riehen	2015
5	0.4914786561	21	St. Alban	2015
