"Branche"	"2023"	"2024"	"2025"
"Industrie (inkl. Chemie, Pharma)"	0.005	0.005	0.004
"Baugewerbe"	0.027	0.024	0.022
"Handel, Reparatur"	0.007	0.005	0.004
"Verkehr, Lagerei, Kommunikation"	0.006	0.006	0.002
"Gastgewerbe"	0.022	0.026	0.028
"IT-Dienstleistungen"	0.007	0.006	0.007
"Finanz-, Versicherungs-DL"	0.000	0.000	0.000
"Beratung, Planung, Forschung, Immobilien"	0.003	0.003	0.003
"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	0.017	0.017	0.017
"Personalvermittlung, -überlassung"	0.064	0.063	0.052
"Öffentliche Verwaltung, Sozialversicherungen"	0.003	0.003	0.002
"Erziehung, Unterricht"	0.002	0.002	0.001
"Gesundheits-, Sozialwesen"	0.005	0.005	0.005
"Kultur, Unterhaltung, pers. DL"	0.023	0.024	0.028
"Total"	0.010	0.010	0.009

