"Jahr"	"Basel-Stadt"	"Basel-Landschaft"	"Beide Basel"
2015	104146	194209	298355
2016	86243	201651	287894
2017	109740	248886	358626
2018	107347	235564	342911
2019	98643	215421	314064
2020	120543	206768	327311
2021	184679	190513	375192
2022	201590	162862	364452
2023	190588	171046	361634
2024	249194	152933	402127

