"Jahr"	"Eingebaute Schallschutzfenster"
1995	436
1999	1649
2004	2693
2009	5045
2010	6369
2011	8042
2012	9359
2013	10079
2014	10614
2015	10813
2016	11274
2017	11443
2018	12680
2019	12919
2020	12976
2021	12981
2022	13259
