"Staatsangehörigkeit"	"Ausgestellte Gutscheine"	"Eingelöste Gutscheine"
"Italien"	412	198
"Türkei"	93	68
"EU-17 und EFTA"	890	431
"EU-Ost"	396	204
"Balkan"	152	121
"Mittel- und Südamerika"	168	102
"Arabische Länder"	62	46
"Afrikanische Länder"	80	53
"Übrige Länder"	798	343

