	Sehr sicher	Eher sicher	Eher unsicher	Ganz unsicher	Geht nachts nie raus	Weiss nicht	Keine Angabe
2003	504	542	248	87	116	0	0
2007	449	565	285	91	118	1	0
2011	436	527	353	107	92	1	0
2015	369	571	335	111	119	1	0
2019	498	926	442	164	32	7	39

