Jahr,Schweiz,Ausland,Deutschland,Italien,Spanien,Türkei,Ehem. Jugoslawien ohne SLO,EU-Oststaaten,Mittel- und Südamerika
2010,0.033,0.054,0.031,0.055,0.036,0.117,0.089,0.033,0.06
2011,0.029,0.046,0.028,0.049,0.032,0.094,0.073,0.037,0.059
2012,0.029,0.046,0.029,0.044,0.041,0.085,0.07,0.045,0.065
2013,0.029,0.046,0.031,0.046,0.046,0.091,0.069,0.058,0.066
2014,0.027,0.043,0.029,0.046,0.049,0.081,0.068,0.068,0.051
2015,0.028,0.046,0.033,0.046,0.066,0.08,0.073,0.084,0.057
