	Keine Angabe	Weiss nicht	Note 10	Note 9	Note 8	Note 7	Note 6	Note 5	Note 4	Note 3	Note 2	Note 1
2003 (Ø 7.4)	0	20	120	104	576	351	144	137	23	14	3	5
2005 (Ø 7.3)	0	10	102	150	546	363	143	140	30	17	4	5
2007 (Ø 7.4)	0	9	105	160	571	372	130	114	26	13	4	5
2011 (Ø 7.7)	0	2	203	178	585	333	89	87	19	11	3	6
2015 (Ø 7.8)	1	11	173	249	597	289	74	74	17	12	1	4
2019 (Ø 8.0)	32	20	321	447	735	320	90	79	24	22	10	8
2023 (Ø 7.8)	41	16	302	433	618	319	136	95	44	27	14	9
