"Steuerjahr"	"Mittelwert Messe"	"Median Messe"	"Mittelwert Erlenmatt"	"Median Erlenmatt"
2005	44210.66	39775.0	40484.26	40405.0
2006	44806.20	40132.5	35592.71	34312.5
2007	45546.12	41597.0	39692.53	31255.5
2008	43457.80	39000.0	37180.39	33192.5
2009	44509.83	39739.0	48387.38	42656.0
2010	44007.46	39168.0	64573.23	50004.0
2011	44541.10	40280.0	76821.23	55187.0
2012	44549.28	39682.0	83799.28	56524.0
2013	45285.19	39296.0	83893.26	60584.0
2014	45454.24	39554.0	84368.84	58298.0
2015	45216.69	39340.0	74160.28	55210.0
2016	45548.09	39503.0	79502.63	60862.5
2017	44739.17	37846.0	78638.15	62026.5
2018	44867.24	38130.0	78278.96	61913.5
2019	46392.53	39303.0	79083.73	59054.0
2020	48078.14	39721.0	82906.61	64457.0
2021	48444.29	39552.0	84975.94	63974.5



	


