Jahr	Stadt Basel	Riehen	Bettingen	Total
2018	447792	57363	1506	506661
2019	443141	64314	1185	508640
2020	513055	58393	2928	574376
2021	509853	76850	3381	590084
2022	499045	79509	3675	582229
2023	524270	70322	3644	598236
2024	562355	66835	4192	633382
