Wohnviertel_Id	wohnviertel_name	Anzahl	Anteil
01	Altstadt Grossbasel	222	56.777493606
02	Vorstädte	280	61.002178649
03	Am Ring	861	75.9929391
04	Breite	100	15.174506829
05	St. Alban	195	17.271922055
06	Gundeldingen	538	38.401142041
07	Bruderholz	287	13.738630924
08	Bachletten	193	7.7634754626
09	Gotthelf	606	62.345679012
10	Iselin	1081	75.017349063
11	St. Johann	1210	80.559254328
12	Altstadt Kleinbasel	85	33.73015873
13	Clara	167	73.245614035
14	Wettstein	76	11.111111111
15	Hirzbrunnen	594	37.523689198
16	Rosental	209	68.524590164
17	Matthäus	745	65.69664903
18	Klybeck	284	66.510538642
19	Kleinhüningen	93	58.490566038
20	Riehen	1394	33.19047619
30	Bettingen	0	
