Wohnviertel_Id	wohnviertel_name	Anzahl	Anteil
01	Altstadt Grossbasel	141	36.061381074
02	Vorstädte	147	32.026143791
03	Am Ring	183	16.151809356
04	Breite	458	69.499241275
05	St. Alban	669	59.255978742
06	Gundeldingen	676	48.251249108
07	Bruderholz	1209	57.874581139
08	Bachletten	1727	69.469026549
09	Gotthelf	290	29.835390947
10	Iselin	275	19.083969466
11	St. Johann	230	15.312916112
12	Altstadt Kleinbasel	147	58.333333333
13	Clara	42	18.421052632
14	Wettstein	497	72.660818713
15	Hirzbrunnen	713	45.041061276
16	Rosental	63	20.655737705
17	Matthäus	327	28.835978836
18	Klybeck	106	24.824355972
19	Kleinhüningen	42	26.41509434
20	Riehen	1907	45.404761905
30	Bettingen	193	61.075949367
