wohnviertel_id	Wohnfläche pro Kopf	Rang	Wohnviertel	jahr_num
18	32.882404	1	Klybeck	2022
19	33.380239	2	Kleinhüningen	2022
16	34.339864	3	Rosental	2022
17	36.448492	4	Matthäus	2022
11	36.878279	5	St. Johann	2022
10	37.311167	6	Iselin	2022
13	37.866730	7	Clara	2022
15	39.106132	8	Hirzbrunnen	2022
6	39.301230	9	Gundeldingen	2022
4	39.747979	10	Breite	2022
9	41.551969	11	Gotthelf	2022
12	44.584415	12	Altstadt Kleinbasel	2022
3	45.033416	13	Am Ring	2022
14	45.386322	14	Wettstein	2022
8	45.936084	15	Bachletten	2022
5	47.010868	16	St. Alban	2022
20	47.114794	17	Riehen	2022
7	48.274273	18	Bruderholz	2022
2	50.058836	19	Vorstädte	2022
30	51.158279	20	Bettingen	2022
1	52.600000	21	Altstadt Grossbasel	2022
