""	"Finanz-, Versicherungs-DL"	"Beratung, Planung, Forschung, Immobilien"	"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	"Personalvermittlung, -überlassung"
"2013-1"	226	5343	2341	18182
"2013-2"	212	6136	9680	30827
"2013-3"	398	6046	3893	39731
"2013-4"	657	4988	3860	26325
"2014-1"	184	8150	12775	19805
"2014-2"	335	7317	6543	31894
"2014-3"	495	7231	3907	47041
"2014-4"	195	7217	3317	19972
"2015-1"	347	9530	13944	17904
"2015-2"	265	8439	2842	23652
"2015-3"	551	6744	2969	36208
"2015-4"	280	7099	2331	14627
"2016-1"	164	11207	14071	12735
"2016-2"	406	7000	2109	19589
"2016-3"	693	5542	3977	25820
"2016-4"	299	5011	2902	16336
"2017-1"	99	6386	13838	11355
"2017-2"	289	6256	2039	26190
"2017-3"	472	5646	2766	32584
"2017-4"	310	4022	2029	20396
"2018-1"	151	6333	9693	15150
"2018-2"	63	6097	2354	25135
"2018-3"	672	6161	3271	33497
"2018-4"	312	3792	2187	20427
"2019-1"	221	4630	6097	15489
"2019-2"	419	5382	2401	21413
"2019-3"	891	5046	3316	31360
"2019-4"	382	5498	1931	20548
"2020-1"	334	4183	2087	15848
"2020-2"	245	2675	3514	22008
"2020-3"	453	4005	2491	29715
"2020-4"	389	3389	1991	22535
"2021-1"	150	1297	772	13597
"2021-2"	9	3345	1893	19630
"2021-3"	185	4161	5754	35744
"2021-4"	42	3746	4622	23121
"2022-1"	102	3970	3064	17953
"2022-2"	143	3895	5227	25530
"2022-3"	324	3910	8613	35213
"2022-4"	194	3509	3733	23790

