""	"Monatlicher Bruttolohn Lagerei u. sonst. DL für den Verkehr"	"Monatlicher Bruttolohn Post-, Kurier- und Expressdienste"
2014	5813	5625
2016	5957	5765
2018	5965	5213
2020	5750	5684
2022	5712	5652
2024	5846	5991

