"JahrBezirk"	"Deutschland"	"Italien"	"Türkei"	"EU-17 + EFTA"	"EU-Ost"	"Balkan"	"Mittel- und Südamerika"	"Arabische Länder"	"Afrikanische Länder"	"Übrige Länder"
"2021: Pestalozzi"	434	195	66	329	105	111	30	11	30	163
"2021: Lysbüchel"	159	93	77	292	60	129	28	22	41	201
"2021: Landskron"	519	357	271	731	231	427	104	58	116	351
"2021: Kannenfeld"	193	78	30	183	64	41	16	21	15	80
"2021: Friedmattviertel"	179	182	322	294	67	199	24	53	44	106
"."										
"2022: Pestalozzi"	405	214	65	309	119	107	29	13	36	207
"2022: Lysbüchel"	199	92	68	315	71	127	32	25	51	220
"2022: Landskron"	541	330	256	763	238	430	92	61	132	434
"2022: Kannenfeld"	172	89	36	170	63	41	15	15	22	119
"2022: Friedmattviertel"	197	179	306	296	79	191	27	52	47	150
".."										
"2023: Pestalozzi"	382	202	64	319	126	113	29	14	35	226
"2023: Lysbüchel"	256	105	64	339	66	121	34	35	53	229
"2023: Landskron"	543	348	238	731	231	401	92	77	130	457
"2023: Kannenfeld"	175	90	33	159	63	41	11	15	19	114
"2023: Friedmattviertel"	203	184	305	304	77	193	33	58	60	160

