JAHR	Klybeck	Kleinhüningen
2000	7073	2362
2001	7008	2363
2002	7015	2466
2003	7038	2504
2004	7003	2480
2005	7017	2560
2006	7122	2558
2007	7026	2542
2008	7126	2553
2009	7230	2639
2010	7149	2624
2011	7254	2699
2012	7268	2877
2013	7294	2878
2014	7348	2876
2015	7281	2900
2016	7202	2893
2017	7255	2844
2018	7293	2858
2019	7237	2798
2020	7110	2809
2021	6952	2749
2022	7009	2793
2023	6994	2828
