"CityDescr"	"Gesamte Agglomeration"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	34.59	29.55	37.93	34.87	30.81
Bern	34	26.07	38.2		
Genf	24.54	23.76	27.18		21.93
Lausanne	25.17	21.95	26.83		
Zürich	27.03	21.59	29.59		
