Jahr	Neubau	Abbruch	Umbausaldo	Nettowohnungsproduktion
2004	0	0	-2	-2
2005	109	0	-2	107
2006	8	-2	0	6
2007	0	0	-6	-6
2008	0	0	1	1
2009	0	0	-2	-2
2010	0	0	0	0
2011	99	0	-8	91
2012	0	0	5	5
2013	0	0	2	2
2014	0	0	0	0
2015	0	0	0	0
2016	0	0	5	5
2017	0	-1	3	2
2018	8	-1	2	9
2019	0	0	80	80
2020	38	-32	2	8
2021	0	0	3	3
2022	60	0	166	226
2023	0	0	10	10
