"Wohnviertel_ID"	"Wohnviertel_Name"	"Beschäftigte pro 100 Einwohner"	"Anzahl Beschäftigte"
1	Altstadt Grossbasel	493.48237969	13023
2	Vorstädte	586.37353931	29606
3	Am Ring	122.99955889	13942
4	Breite	18.550436416	1679
5	St. Alban	285.117627	33450
6	Gundeldingen	77.491399841	14642
7	Bruderholz	17.095374193	1615
8	Bachletten	28.253875402	3864
9	Gotthelf	39.361546346	2688
10	Iselin	22.423210196	3818
11	St. Johann	119.20717068	22343
12	Altstadt Kleinbasel	194.07622204	4685
13	Clara	72.501230921	2945
14	Wettstein	205.38714706	11857
15	Hirzbrunnen	40.57628212	3774
16	Rosental	65.5506147	5012
17	Matthäus	24.351965009	3786
18	Klybeck	56.132208158	3991
19	Kleinhüningen	245.85261659	6906
20	Riehen	22.243214598	4827
30	Bettingen	27.426160338	325
