"Staatsangehörigkeit"	"Basel-Stadt"	"Schweiz"
"Deutschland"	5.5	8.3
"Italien"	9.8	15.8
"Türkei"	19.4	23.2
"EU-West + EFTA + UK"	6.1	8.5
"EU-Ost"	4.5	6.5
"Balkan"	17.5	20.5
"Mittel- und Südamerika"	5.5	7.4
"Arabische Länder"	6.9	9.0
"Afrikanische Länder"	8.1	10.5
"Übrige Länder"	3.4	4.2

