"Zuzugs-/Wegzugsland"	"Schweizer"	"Ausländer"	"Total"
"Schweiz"	-254	-538	-792
"Ausland"	-100	3234	3134
"Unbekannt"	-357	-852	-1209
"Total"	-711	1844	1133

