"Alter"	"Männer"	"Frauen"
"15-19"	6.7	6.6
"20-24"	10.2	8.9
"25-29"	9.3	6.7
"30-34"	6.9	5.8
"35-39"	6.2	5.7
"40-44"	6.7	5.4
"45-49"	7.0	4.9
"50-54"	5.3	3.9
"55-59"	5.1	4.3
"60-64"	7.3	4.2

