""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2011-01"	0.032917	14
"2011-02"	0.032917	15
"2011-03"	0.032917	12
"2011-04"	0.032917	10
"2011-05"	0.032917	12
"2011-06"	0.032917	9
"2011-07"	0.032917	7
"2011-08"	0.032917	7
"2011-09"	0.032917	9
"2011-10"	0.032917	10
"2011-11"	0.032917	9
"2011-12"	0.032917	9
"2012-01"	0.038537	8
"2012-02"	0.038537	8
"2012-03"	0.038537	10
"2012-04"	0.038537	12
"2012-05"	0.038537	14
"2012-06"	0.038537	13
"2012-07"	0.038537	13
"2012-08"	0.038537	14
"2012-09"	0.038537	14
"2012-10"	0.038537	12
"2012-11"	0.038537	13
"2012-12"	0.038537	13
"2013-01"	0.039340	14
"2013-02"	0.039340	13
"2013-03"	0.039340	14
"2013-04"	0.039340	14
"2013-05"	0.039340	14
"2013-06"	0.039340	12
"2013-07"	0.039340	12
"2013-08"	0.039340	12
"2013-09"	0.039340	14
"2013-10"	0.039340	10
"2013-11"	0.039340	9
"2013-12"	0.039340	9
"2014-01"	0.044424	9
"2014-02"	0.044424	9
"2014-03"	0.044424	9
"2014-04"	0.044424	11
"2014-05"	0.044424	14
"2014-06"	0.044424	15
"2014-07"	0.044424	18
"2014-08"	0.044424	14
"2014-09"	0.044424	14
"2014-10"	0.044424	14
"2014-11"	0.044424	18
"2014-12"	0.044424	21
"2015-01"	0.061284	22
"2015-02"	0.061284	22
"2015-03"	0.061284	21
"2015-04"	0.061284	19
"2015-05"	0.061284	21
"2015-06"	0.061284	17
"2015-07"	0.061284	16
"2015-08"	0.061284	16
"2015-09"	0.061284	14
"2015-10"	0.061284	17
"2015-11"	0.061284	20
"2015-12"	0.061284	24
"2016-01"	0.076003	21
"2016-02"	0.076003	27
"2016-03"	0.076003	26
"2016-04"	0.076003	25
"2016-05"	0.076003	25
"2016-06"	0.076003	25
"2016-07"	0.076003	25
"2016-08"	0.076003	22
"2016-09"	0.076003	22
"2016-10"	0.076003	24
"2016-11"	0.076003	23
"2016-12"	0.076003	19
"2017-01"	0.071989	20
"2017-02"	0.071989	22
"2017-03"	0.071989	25
"2017-04"	0.071989	25
"2017-05"	0.071989	26
"2017-06"	0.071989	26
"2017-07"	0.071989	24
"2017-08"	0.071989	22
"2017-09"	0.071989	20
"2017-10"	0.071989	20
"2017-11"	0.071989	21
"2017-12"	0.071989	18
"2018-01"	0.071989	22
"2018-02"	0.071989	22
"2018-03"	0.071989	21
"2018-04"	0.071989	23
"2018-05"	0.071989	23
"2018-06"	0.071989	18
"2018-07"	0.071989	25
"2018-08"	0.071989	24
"2018-09"	0.071989	23
"2018-10"	0.071989	22
"2018-11"	0.071989	24
"2018-12"	0.071989	22
"2019-01"	0.049777	19
"2019-02"	0.049777	16
"2019-03"	0.049777	18
"2019-04"	0.049777	16
"2019-05"	0.049777	14
"2019-06"	0.049777	11
"2019-07"	0.049777	14
"2019-08"	0.049777	13
"2019-09"	0.049777	16
"2019-10"	0.049777	17
"2019-11"	0.049777	16
"2019-12"	0.049777	16
"2020-01"	0.060481	15
"2020-02"	0.060481	13
"2020-03"	0.060481	19
"2020-04"	0.060481	20
"2020-05"	0.060481	20
"2020-06"	0.060481	19
"2020-07"	0.060481	21
"2020-08"	0.060481	18
"2020-09"	0.060481	19
"2020-10"	0.060481	17
"2020-11"	0.060481	21
"2020-12"	0.060481	24

