"Wohnviertel"	"Fremdprachenquote"
01	0.3
02	0.4117647059
03	0.4235294118
04	0.5862068966
05	0.4025974026
06	0.5681818182
07	0.25
08	0.2347826087
09	0.2894736842
10	0.5838926174
11	0.5403726708
12	0.3636363636
13	0.5757575758
14	0.2777777778
15	0.3539823009
16	0.7105263158
17	0.5806451613
18	0.8474576271
19	0.7647058824
