WohnviertelId	Anteil Ausländer 2015	Rang	 WohnviertelName
8	0.2138485362	1	Bachletten
15	0.2202354509	2	Hirzbrunnen
7	0.2311086597	3	Bruderholz
20	0.2454837319	4	Riehen
30	0.2516611296	5	Bettingen
1	0.2526315789	6	Altstadt Grossbasel
9	0.2762753983	7	Gotthelf
14	0.3090779383	8	Wettstein
5	0.3103859199	9	St. Alban
4	0.3244801085	10	Breite
3	0.33959782	11	Am Ring
12	0.3585215606	12	Altstadt Kleinbasel
10	0.3673457088	13	Iselin
2	0.3684103812	14	Vorstädte
6	0.3957582185	15	Gundeldingen
11	0.4343434343	16	St. Johann
19	0.4637931034	17	Kleinhüningen
13	0.4638868206	18	Clara
17	0.5114395251	19	Matthäus
18	0.5177860184	20	Klybeck
16	0.5493277175	21	Rosental
