"Jahr"	"MIV Stadtstrassennetz"	"MIV Total"	"ÖV"	"Velo (wetterbereinigt)"	"Fussgänger"	"Zielpfad MIV-Stadtstrassennetz (2020 = 90)"	"Grenzwert MIV-Stadtstrassennetz (ab 2021)"
2010	100	100	100	100		100	
2011	99.2	100.5	102.6	103.1		99	
2012	98.2	99.5	104.6	103.3		98	
2013	98.5	100.7	105.1	103.9	100	97	
2014	98.2	101.1	106.8	114.7	107	96	
2015	97.1	100.9	110.2	118.4	103	95	
2016	97.2	101	109.5	122.9	102.5	94	
2017	95.2	100.2	108.1	125.6	103.7	93	
2018	93.9	99	106.6	128.7	102.4	92	
2019	92.3	98.5	107.7	145	98.4	91	
2020	77	80.3	72.3	141.9	83.7	90	
2021	81.4	85.5	72.9	145.2	82.7		92.3
2022	83.8	92.2	89.3	155.4	91.2		92.3
2023	84.5	93.8	97.8	164.6	97.6		92.3
