"Alter"	"Männer"	"Frauen"
"15-19"	3.8	2.5
"20-24"	4.0	2.7
"25-29"	3.2	2.6
"30-34"	3.3	3.1
"35-39"	3.6	2.2
"40-44"	2.9	2.5
"45-49"	2.5	1.6
"50-54"	2.5	1.8
"55-59"	2.5	1.7
"60-64"	3.4	2.4

