"Jahr"	"Handel und Dienstleistungen"	"Industrie, Energie und Baugewerbe"	"Land- und Forstwirtschaft"
2005	103133	31286	57
2008	107149	32366	50
2011	113469	34181	79
2012	114173	34385	76
2013	116914	33790	78
2014	117925	34297	93
2015	116698	34852	82

