Jahr	Kulturerbe	Kultur, übrige	Kulturerbe CHF	Kultur, übrige CHF	Bevölkerung
2010	493	345	94692502.8	66193851.3	191 946
2011	507	355	97386569	68261547.8	192 174
2012	573	372	110452201.6	71847004	192 900
2013	515	370	100246110.6	72092110	194 655
2014	601	454	117776740.4	89099980.9	196 086
2015	655	566	129130108.1	111461638.5	197 005
2016	516	486	102075348.9	96140348.3	197 926
2017	433	471	85880150.3	93494420.2	198 563
2018	447	484	89278821	96741614.8	199 870
2019	480	482	96228391.9	96466251.5	200 321
2020	477	663	96049664	133546482.5	201 527
2021	494	611	99498625.2	123113678.2	201 569
2022	499	550	101583614.2	112090564.5	203 628  

