"Jahr"	"Schweizer"	"Schweizer 95% Vertrauensintervall"	"Schweizer 95% Vertrauensintervall Obergrenze"	"Schweizerinnen"	"Schweizerinnen 95% Vertrauensintervall"	"Schweizerinnen 95% Vertrauensintervall Obergrenze"	"Ausländer"	"Ausländer 95% Vertrauensintervall"	"Ausländer 95% Vertrauensintervall Obergrenze"	"Ausländerinnen"	"Ausländerinnen 95% Vertrauensintervall"	"Ausländerinnen 95% Vertrauensintervall Obergrenze"
"1990"	0.847	""	""	0.595	""	""	0.862	""	""	0.624	""	""
"2000"	0.793	""	""	0.676	""	""	0.780	""	""	0.642	""	""
"2012-2016"	0.752	0.741	0.763	0.730	0.719	0.741	0.768	0.754	0.782	0.660	0.644	0.675

