Jahr	18-29 J.	30-39 J.	40-49 J.	50-59 J.	60-69 J.	>69 J.	Total
2003	91	93.4	95.8	97	95.3	96	94.9
2005	96.8	94.6	95.5	95.7	94.6	99.2	96.1
2007	96.6	94.2	95.7	95.6	96.1	97.1	96
2011	96.7	95.1	95.6	93.9	96.8	96.9	95.9
2015	96.7	90.3	96.7	98.1	96.8	97.2	96.2
2019	87.7	88.3	94.8	90.7	97.5	95.4	92.2
2023	89.4	86.7	92.3	91.7	95.6	96.4	92.0

