Jahr	 Eine(n)	 Mehrere	 Keine	 Weiss nicht	Keine Angabe
2003	259	428	810	0	0
2005	326	292	892	0	0
2007	325	237	947	0	0
2011	311.35588	251.22689	951.7982	0	1.61903
2015	409.09734	226.55421	868.45538	1.89306	0
2019	496.51848	376.18468	1188	0.84309	46.37792
2023	345.23221	297.88798	1162	0	248.66224
