""	"Kauf und Verkauf"	"Vermietung, Verpachtung"	"Vermittlung für Dritte"	"Verwaltung für Dritte"
2011	95.2	216.3	85.5	1082.0
2012	84.4	215.8	101.9	1181.2
2013	99.1	221.9	129.9	1183.3
2014	107.8	217.9	116.3	1203.5
2015	99.0	275.1	107.9	1002.8
2016	81.2	326.4	116.9	1042.1
2017	75.2	346.4	124.9	975.6
2018	71.3	352.7	127.6	1000.5

