Jahr	Umbau- und Unterhaltsarbeiten
2002	
2003	60.48
2004	
2005	56.46
2006	
2007	55.93
2008	
2009	54.33
2010	
2011	61.12
2012	
2013	56.8
2015	63.32
2016	62.29
2017	
