"Kanton"	"2014"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2015"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2016"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2017"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2018"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"
"Basel-Stadt"	94249	91911	96588	94986	92653	97318	96637	94284	98990	97799	95459	100138	94437	92012	96863
"Basel-Landschaft"	141157	138479	143835	142491	139765	145218	142824	139991	145657	143229	140413	146045	142808	139973	145643
"Jura"	34756	33819	35693	34603	33205	36002	34116	32713	35519	33775	32352	35199	35181	33826	36536
"BS/BL/JU"	270162	266486	273838	272081	268230	275932	273577	269636	277518	274803	270875	278731	272426	268456	276396

