"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	10140	""	""	""
"1986"	10483	""	""	""
"1987"	10845	""	""	""
"1988"	11224	""	""	""
"1989"	11557	""	""	""
"1990"	11767	""	""	""
"1991"	11935	""	""	""
"1992"	12125	""	""	""
"1993"	12310	""	""	""
"1994"	12559	""	""	""
"1995"	12467	""	""	""
"1996"	12273	""	""	""
"1997"	11964	""	""	""
"1998"	11725	""	""	""
"1999"	11623	""	""	""
"2000"	11751	""	""	""
"2001"	12054	""	""	""
"2002"	11968	""	""	""
"2003"	12036	""	""	""
"2004"	12283	""	""	""
"2005"	12396	""	""	""
"2006"	12584	""	""	""
"2007"	12904	""	""	""
"2008"	13052	""	""	""
"2009"	13179	""	""	""
"2010"	13311	""	""	""
"2011"	13459	""	""	""
"2012"	13573	""	""	""
"2013"	13528	""	""	""
"2014"	13541	""	""	""
"2015"	13545	""	""	""
"2016"	13539	""	""	""
"2017"	13507	""	""	""
"2018"	13345	""	""	""
"2019"	13301	""	""	""
"2020"	13113	""	""	""
"2021"	13163	""	""	""
"2022"	13238	""	""	""
"2023"	13340	""	""	""
"2024"	13342	""	""	""
"2025"	13448	""	""	""
"2026"	""	13596	13488	13379
"2027"	""	13724	13511	13296
"2028"	""	13919	13605	13284
"2029"	""	14107	13692	13269
"2030"	""	14319	13805	13280
"2031"	""	14472	13860	13235
"2032"	""	14664	13952	13227
"2033"	""	14845	14035	13212
"2034"	""	15041	14134	13210
"2035"	""	15218	14212	13193
"2036"	""	15518	14412	13292
"2037"	""	15786	14580	13362
"2038"	""	16043	14737	13420
"2039"	""	16350	14944	13528
"2040"	""	16723	15213	13694
"2041"	""	17060	15448	13827
"2042"	""	17385	15669	13945
"2043"	""	17767	15941	14109
"2044"	""	18184	16247	14304
"2045"	""	18566	16515	14460
"2046"	""	18898	16734	14566
"2047"	""	19133	16857	14578
"2048"	""	19363	16972	14583
"2049"	""	19562	17056	14555
"2050"	""	19699	17079	14467

