Jahr	Bevölkerungsdichte in Bauzonen	Bevölkerungsdichte in Bauzonen mit potentieller Wohnnutzung	Bevölkerungsdichte Kanton Basel-Stadt
2005	130	148.5	50.8
2006	130	148.4	50.8
2007	130.1	148.6	50.9
2008	131	149.8	51.3
2009	131.9	150.8	51.6
2010	132	151	51.6
2011	133	152.2	52
2012	133.8	152.4	52.3
2013	135.1	153.9	52.9
2014	135.7	154.1	53.2
2015	136.2	154.7	53.4
2016	136.9	155.4	55.2
2017	137.3	156.2	55.4
2018	138.1	157.2	55.8
2019	138.6	156.8	55.8
2020	139.8	158.1	56.3
2021	139.8	158.1	56.2
2022	141.7	160.2	57.0
