"WohnviertelId"	"Wohnviertel"	"Anzahl Zugezogene pro 100 Einwohner"	"Kuchengrösse"	"Anteil Zugezogene nach Zuzugsland: Schweiz"	"Anteil Zugezogene nach Zuzugsland: Ausland"
1	"Altstadt Grossbasel"	9.6	0.1	41.7	58.3
2	"Vorstädte"	11.0	0.1	39.2	60.8
3	"Am Ring"	9.9	0.1	46.7	53.3
4	"Breite"	6.4	0.1	49.2	50.8
5	"St. Alban"	6.4	0.1	48.7	51.3
6	"Gundeldingen"	8.5	0.1	57.6	42.4
7	"Bruderholz"	3.9	0.1	61.1	38.9
8	"Bachletten"	4.4	0.1	59.0	41.0
9	"Gotthelf"	5.9	0.1	54.6	45.4
10	"Iselin"	5.7	0.1	52.4	47.6
11	"St. Johann"	7.1	0.1	42.7	57.3
12	"Altstadt Kleinbasel"	9.2	0.1	56.8	43.2
13	"Clara"	7.8	0.1	33.0	67.0
14	"Wettstein"	10.3	0.1	35.5	64.5
15	"Hirzbrunnen"	3.0	0.1	54.1	45.9
16	"Rosental"	10.7	0.1	29.6	70.4
17	"Matthäus"	7.8	0.1	44.7	55.3
18	"Klybeck"	6.4	0.1	40.6	59.4
19	"Kleinhüningen"	5.8	0.1	41.4	58.6
20	"Riehen"	3.6	0.1	52.4	47.6
30	"Bettingen"	3.1	0.1	56.8	43.2

