"Land"	"Männer"	"Frauen"
"Schweiz"	48.8	51.2
"Deutschland"	52.5	47.5
"USA"	46.1	53.9
"Italien"	55.1	44.9
"Frankreich"	53.2	46.8
"UK"	54.6	45.4
"Übriges Ausland"	50.6	49.4
"Total"	50.4	49.6

