Publikationsjahr	1 Zimmer	2 Zimmer	3 Zimmer	4 Zimmer	5 Zimmer	6 Zimmer u.m.
2010	300	846	1091	416	73	11
2011	300	845	1088	413	73	11
2012	305	845	1089	415	73	11
2013	275	878	1123	428	78	10
2014	297	931	1126	432	75	10
2015	325	1158	1362	479	82	9
2016	331	1174	1362	477	82	9
2017	337	1207	1375	496	92	12
2018	377	1253	1404	509	96	15
2019	432	1416	1507	575	101	29
2020	436	1412	1507	576	101	30
2021	442	1424	1504	578	100	30
2022	461	1473	1511	578	99	28
2023	483	1482	1548	573	95	28
2024	483	1487	1548	573	97	29
