Jahr	 1- und 2-Sterne	 3-Sterne	 4- und 5-Sterne	 Nicht klassiert	 Total
2016	10	26	18	10	64
2017	10	26	17	12	65
2018	10	26	17	12	65
2019	9	25	18	11	63
2020	9	25	19	13	66
2021	9	25	20	12	66
2022	8	23	21	13	65
2023	8	22	21	13	64
2024	8	22	20	14	64
2025	8	21	19	15	63
