JAHR	Umzugssaldo Messe	Umzugssaldo Erlenmatt
2013	-44	-68
2014	-98	-79
2015	-74	496
2016	-65	74
2017	-242	115
2018	-64	38
2019	-62	401
2020	-97	-12
2021	-100	-39
2022	-104	-50
