	Basel-Stadt	Basel-Landschaft	Jura	BS/BL/JU	Schweiz
2014	100	100	100	100	100
2015	103.9	103.6	99.1	103.4	101.6
2016	112.9	104.7	99.4	108.9	103.8
2017	119.4	105.6	102.6	113.1	105.2
2018	122.5	105.1	107.8	115.1	108.2
2019	126	104.8	109.7	117.2	109.4
2020	125.1	102.9	99.2	115	107.1
2021	133.4	105.1	113.8	121.7	112.8
2022	142.6	107.4	118.1	127.9	115.7


