"Jahr"	"BS"	"BL"	"AG"	"ZH"	"CH"
2008	0.024	0.022	0.032	0.012	0.022
2009	-0.029	-0.017	-0.024	-0.025	-0.022
2010	0.026	0.027	0.012	0.010	0.030
2011	0.035	0.012	0.011	0.005	0.017
2012	0.033	-0.004	0.006	0.012	0.010
2013	-0.003	0.009	0.018	0.024	0.019
2014	0.025	0.036	0.017	0.033	0.024
2015	0.031	0.022	0.010	0.021	0.013
2016	0.029	0.002	0.004	-0.006	0.016
2017	0.034	0.025	0.021	0.020	0.016

