"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	72208	""	""	""
"1986"	71384	""	""	""
"1987"	70963	""	""	""
"1988"	70348	""	""	""
"1989"	70182	""	""	""
"1990"	70082	""	""	""
"1991"	70651	""	""	""
"1992"	70900	""	""	""
"1993"	71343	""	""	""
"1994"	70802	""	""	""
"1995"	70397	""	""	""
"1996"	69602	""	""	""
"1997"	68569	""	""	""
"1998"	67708	""	""	""
"1999"	66976	""	""	""
"2000"	66178	""	""	""
"2001"	65747	""	""	""
"2002"	65876	""	""	""
"2003"	65825	""	""	""
"2004"	66014	""	""	""
"2005"	65454	""	""	""
"2006"	65093	""	""	""
"2007"	65224	""	""	""
"2008"	65555	""	""	""
"2009"	65867	""	""	""
"2010"	66193	""	""	""
"2011"	66797	""	""	""
"2012"	67264	""	""	""
"2013"	67924	""	""	""
"2014"	68056	""	""	""
"2015"	68207	""	""	""
"2016"	68278	""	""	""
"2017"	68460	""	""	""
"2018"	68847	""	""	""
"2019"	68939	""	""	""
"2020"	69354	""	""	""
"2021"	69136	""	""	""
"2022"	""	69571	69249	68873
"2023"	""	70124	69496	68745
"2024"	""	70677	69764	68648
"2025"	""	71215	70039	68574
"2026"	""	71728	70310	68510
"2027"	""	72209	70565	68446
"2028"	""	72650	70794	68370
"2029"	""	73047	70989	68277
"2030"	""	73398	71147	68160
"2031"	""	73705	71267	68018
"2032"	""	73973	71353	67853
"2033"	""	74211	71410	67670
"2034"	""	74428	71447	67473
"2035"	""	74633	71472	67267
"2036"	""	74833	71490	67059
"2037"	""	75033	71506	66850
"2038"	""	75235	71524	66643
"2039"	""	75439	71543	66439
"2040"	""	75644	71563	66238
"2041"	""	75847	71583	66041
"2042"	""	76048	71603	65845
"2043"	""	76246	71621	65652
"2044"	""	76440	71638	65461
"2045"	""	76630	71654	65271

