Tag	Inland	Ausland
2023-6-19	1387	3072
2023-6-20	1731	3449
2023-6-21	2158	3307
2023-6-22	2347	3024
2023-6-23	1790	3100
2023-6-24	2255	3340
2023-6-25	1019	3009
2023-6-26	1968	3248
2023-6-27	1739	3470
2023-6-28	1689	3428
2023-6-29	1523	3126
2023-6-30	1873	3092
2023-7-1	1863	2925
2023-7-2	883	2309
2023-7-3	1356	2563
2023-7-4	1508	2796
2023-7-5	1351	2510
2023-7-6	1360	2309
2023-7-7	1208	2724
2023-7-8	1321	2870
2023-7-9	1084	2838
2023-7-10	1619	3182
2023-7-11	1621	3199
2023-7-12	1469	3244
2023-7-13	1311	2983
2023-7-14	2647	3349
2023-7-15	3808	3574
2023-7-16	1735	2961
2023-7-17	1892	3059
2023-7-18	1955	3279
2023-7-19	1892	3476
2023-7-20	1989	3301
2023-7-21	2660	3524
2023-7-22	2935	3596
2023-7-23	1122	2636
2023-7-24	1303	2898
2023-7-25	1588	2756
2023-7-26	1300	2749
2023-7-27	1201	2576
2023-7-28	1334	3037
2023-7-29	1779	3352
2023-7-30	1281	2560
2023-7-31	1716	2613
2023-8-1	1055	2318
2023-8-2	1212	2472
2023-8-3	1327	2570
2023-8-4	1316	3029
2023-8-5	1555	3346
2023-8-6	890	2635
2023-8-7	1223	2646
2023-8-8	1456	2813
2023-8-9	1618	2842
2023-8-10	1327	2917
2023-8-11	1399	3633
2023-8-12	1987	4422
2023-8-13	1006	2972
2023-8-14	1764	3151
2023-8-15	1793	2951
2023-8-16	1924	3004
2023-8-17	1174	2922
2023-8-18	1601	3330
2023-8-19	2088	3497
2023-8-20	721	2275
2023-8-21	1165	2570
2023-8-22	1484	2747
2023-8-23	1458	2899
2023-8-24	1468	2895
2023-8-25	1739	2954
2023-8-26	2173	2969
2023-8-27	809	2150
2023-8-28	1200	2391
2023-8-29	1279	2480
2023-8-30	1401	2644
2023-8-31	1672	2421
2023-9-1	1526	2596
2023-9-2	2003	2771
2023-9-3	792	2295
2023-9-4	1275	2711
2023-9-5	1261	3040
2023-9-6	1607	3026
2023-9-7	1603	2572
2023-9-8	1808	2558
2023-9-9	2208	3040
2023-9-10	870	2473
2023-9-11	1122	2818
2023-9-12	1398	3304
2023-9-13	1427	3636
2023-9-14	1437	3123
2023-9-15	2542	3037
2023-9-16	2234	2941
2023-9-17	963	2308
2023-9-18	1207	2803
2023-9-19	1497	3166
2023-9-20	1452	3448
2023-9-21	1462	3301
2023-9-22	1802	3085
2023-9-23	1814	2712
2023-9-24	730	2403
2023-9-25	1386	3079
2023-9-26	1637	3482
2023-9-27	1642	3366
2023-9-28	1541	2743
2023-9-29	1686	2632
2023-9-30	1767	2842
2023-10-1	752	2213
2023-10-2	1002	2541
2023-10-3	1237	3073
2023-10-4	1413	3393
2023-10-5	1163	2963
2023-10-6	1346	2488
2023-10-7	1557	2367
2023-10-8	712	1859
2023-10-9	1325	2844
2023-10-10	1552	3278
2023-10-11	1470	3502
2023-10-12	1212	2639
2023-10-13	1375	2336
2023-10-14	1681	2306
2023-10-15	863	1841
2023-10-16	1152	2548
2023-10-17	1429	2962
2023-10-18	1476	3095
2023-10-19	1676	2862
2023-10-20	1978	2470
2023-10-21	2438	2387
2023-10-22	1278	2588
2023-10-23	1654	3421
2023-10-24	1769	3503
2023-10-25	1788	2716
2023-10-26	2072	2376
2023-10-27	2844	2354
2023-10-28	3648	2647
2023-10-29	1001	1910
2023-10-30	1242	1973
2023-10-31	1374	1890
2023-11-1	1364	1956
2023-11-2	1502	2403
2023-11-3	2742	3774
2023-11-4	3122	3738
2023-11-5	1211	3096
2023-11-6	1155	2161
2023-11-7	1569	2360
2023-11-8	1389	2378
2023-11-9	1478	2259
2023-11-10	2099	3133
2023-11-11	3071	3287
2023-11-12	882	2053
2023-11-13	1100	2032
2023-11-14	1162	2201
2023-11-15	1345	2254
2023-11-16	1530	2142
2023-11-17	2309	2132
2023-11-18	3971	2121
2023-11-19	2014	1638
2023-11-20	2428	1987
2023-11-21	2556	2067
2023-11-22	1751	2089
2023-11-23	1506	2301
2023-11-24	1942	2929
2023-11-25	2854	3346
2023-11-26	923	2436
2023-11-27	1198	2469
2023-11-28	1302	2824
2023-11-29	1489	2844
2023-11-30	1595	3010
2023-12-1	2206	3989
2023-12-2	3084	4435
2023-12-3	1116	3188
2023-12-4	1341	3462
2023-12-5	1693	3993
2023-12-6	1690	4233
2023-12-7	1808	4591
2023-12-8	2570	5165
2023-12-9	2918	5089
2023-12-10	1034	2764
2023-12-11	1221	2742
2023-12-12	1387	2836
2023-12-13	1492	3138
2023-12-14	1647	3224
2023-12-15	2416	3834
2023-12-16	2719	4022
2023-12-17	792	2396
2023-12-18	910	1920
2023-12-19	1078	1924
2023-12-20	982	1656
2023-12-21	900	1704
2023-12-22	1114	2346
2023-12-23	1187	2287
2023-12-24	1010	1902
2023-12-25	868	1962
2023-12-26	813	2129
2023-12-27	1258	2532
2023-12-28	1261	2639
2023-12-29	1337	3015
2023-12-30	1338	3169
2023-12-31	2122	3163
