"Jahr"	"Handel, Reparatur"	"Verkehr, Lagerei"	"Gastgewerbe"	"Information, Kommunikation"
2009	100.0	100.0	100.0	100.0
2010	105.4	100.8	102.0	95.0
2011	105.4	98.1	102.2	85.0
2012	108.1	99.5	100.4	89.8
2013	109.9	93.5	109.8	88.8
2014	112.4	94.7	110.6	83.1
2015	115.1	85.8	108.0	83.1
2016	115.4	82.8	104.5	83.4
2017	114.3	81.3	107.8	83.8
2018	113.4	83.5	112.8	87.2

