Jahr	 Nettoschuldenquote in ‰ (linke Skala)	 Nettoschulden pro Kopf in Franken (rechte Skala)
2000	8.6	19131.6
2001	8.5	19371
2002	8.5	19605.6
2003	8.1	18827.5
2004	7.7	18441.8
2005	6.9	16868.3
2006	4.7	12231
2007	5.5	14875.5
2008	5.1	14389.8
2009	4.6	13036
2010	3.3	9495
2011	3	8916
2012	3.5	10631
2013	3.2	10450
2014	3	9944
2015	2.9	9313
2016	3	9950
