jahr	Anzahl Störfälle und Ereignisse
1991	26
1992	28
1993	17
1994	17
1995	22
1996	18
1997	26
1998	16
1999	25
2000	17
2001	21
2002	24
2003	18
2004	18
2005	16
2006	16
2007	19
2008	18
2009	16
2010	15
2011	8
2012	11
2013	10
2014	5
2015	10
2016	9
2017	10
2018	12
2019	16
2020	5
2021	10
2022	17
2023	18
