"Jahr"	"Index Medianprämie"	"Index Median Einkommen"
2010	100.0	100.0
2011	103.1	100.6
2012	110.9	100.7
2013	114.3	101.5
2014	117.3	102.0
2018	132.3	103.3
2019	139.2	103.8
2020	139.9	104.4
2021	140.2	105.9
