"Jahr"	"Klybeck"	"Klybeck 95% Konfidenzintervall Untergrenze"	"Klybeck 95% Konfidenzintervall Obergrenze"	"Kleinhüningen"	"Kleinhüningen 95% Konfidenzintervall Untergrenze"	"Kleinhüningen 95% Konfidenzintervall Obergrenze"	"Basel"	"Basel 95% Konfidenzintervall Untergrenze"	"Basel 95% Konfidenzintervall Obergrenze"
1990	0.61059	"."	"."	0.58789	"."	"."	0.63130	"."	"."
2000	0.70618	"."	"."	0.70472	"."	"."	0.72436	"."	"."
"2018-2022"	0.64095	0.58586	0.69603	0.55269	0.46826	0.63712	0.74009	0.73058	0.74960

