"Jahr"	"Sekundarstufe I"	"Sekundarstufe II"	"Tertiärstufe"	"Ohne Angabe"
"1990"	35.3	48.4	13.3	3.1
"2000"	28.9	40.6	19.8	10.6
"."	""	""	""	""
"2010"	25.6	40.5	31.7	2.3
"2011"	25.6	39.7	33.1	1.6
"2012"	23.8	40.0	34.4	1.9
"2013"	24.5	39.5	36.0	""
"2014"	23.7	38.9	37.5	""
"2015"	23.8	38.0	38.2	""
"2016"	22.5	37.3	40.2	""
"2017"	21.5	38.3	40.2	""
"2018"	22.3	37.7	39.9	""
"2019"	21.2	37.7	41.1	""
"2020"	20.3	32.9	46.8	""
"2021"	19.4	32.2	48.4	""

