	Werktage	Wochenende
914 Hiltalingerstrasse	76.67	89.59
403 Heuwaage-Viadukt	53.98	46.90
354 Wettsteinbrücke	50.92	60.11
905 Leimenstrasse 4	49.56	63.09
902 Viaduktstrasse	49.43	54.86
913 Burgfelderstrasse	46.75	71.45
916 Stückisteg	42.05	59.49
