"JahrBezirk"	"Parkanlage/Spielplatz"	"Gartenanlage"	"Sportanlage humusiert"	"Gewässervorland humusiert"	"Übrige humusierte"
"2008: Messe"	2306.07	16673.21			2767.54
"2008: Erlenmatt"		2872.27		26.7164	4439.70
"."					
"2009: Messe"	2306.07	16673.21			2767.54
"2009: Erlenmatt"		2872.27		26.7164	4439.64
".."					
"2010: Messe"	2306.07	16680.52			2767.54
"2010: Erlenmatt"	6438.14	5076.20		88.1722	5364.37
"..."					
"2011: Messe"	2306.07	16676.29			2767.54
"2011: Erlenmatt"	20796.18	5076.20		88.1722	5435.32
"...."					
"2012: Messe"	2306.07	16720.80			2767.54
"2012: Erlenmatt"	20796.18	5076.20		88.1722	6446.51
"....."					
"2013: Messe"	2306.20	24283.81			3750.02
"2013: Erlenmatt"	20795.69	5076.06		88.1740	7202.71
"......"					
"2014: Messe"	2306.20	24283.81			3751.06
"2014: Erlenmatt"	20795.69	5076.06		88.1740	7202.71
"......."					
"2015: Messe"	2306.20	23925.97			3467.58
"2015: Erlenmatt"	20795.69	5076.06		88.1740	7207.82
"........"					
"2016: Messe"	2306.20	23925.97			3685.63
"2016: Erlenmatt"	19249.00	10697.57	11185.02	88.1740	16234.32
"........."					
"2017: Messe"	2306.20	23240.23			3685.63
"2017: Erlenmatt"	18604.35	10697.57	11185.02	88.1740	16234.32
".........."					
"2018: Messe"	2315.12	25815.19			3796.57
"2018: Erlenmatt"	18604.35	10697.57	11184.99	88.1740	16234.29

