Jahr	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
2003						
2003: Schweiz	54	438	355	60	333	0
2003: Ausland	17	86	50	10	38	0
2003: Total	71	524	405	70	371	0
2005						
2005: Schweiz	56	423	438	86	269	0
2005: Ausland	10	75	70	22	26	0
2005: Total	66	498	508	108	295	0
2007						
2007: Schweiz	81	558	274	48	328	0
2007: Ausland	14	74	37	11	36	0
2007: Total	95	632	311	59	364	0
2011						
2011: Schweiz	190.9327	515.4295	202.0134	25.78404	193.1017	4.366794
2011: Ausland	81.06061	151.5844	53.88523	11.64226	45.37681	0
2011: Total	271.9933	667.014	255.8986	37.4263	238.4785	4.366794
2015						
2015: Schweiz	116.9179	520.2249	181.7509	21.64205	236.1124	0
2015: Ausland	49.86274	172.2085	61.91943	10.02126	50.1663	0
2015: Total	166.7806	692.4334	243.6703	31.66331	286.2787	0
2019						
2019: Schweiz	149.7581	422.8243	151.8572	46.89627	396.7959	64.34106
2019: Ausland	110.1685	257.6853	102.3117	29.19135	138.0638	21.96133
2019: Total	263.7222	689.0433	254.8922	76.92368	539.5529	87.74891
2023						
2023: Schweiz	180.5157	450.7883	139.8358	28.70284	388.5732	35.9028
2023: Ausland	110.0344	241.9279	105.6933	39.28609	164.8817	11.81295
2023: Total	290.5501	692.7162	245.5292	67.98892	553.455	47.71575


