"Alter"	"Saldo"
"0-4"	980
"5-9"	1372
"10-14"	1193
"15-19"	1725
"20-24"	5328
"25-29"	9111
"30-34"	5945
"35-39"	3890
"40-44"	2546
"45-49"	1808
"50-54"	827
"55-59"	41
"60-64"	-735
"65-69"	-788
"70-74"	-156
"75-79"	-64
">79"	-94

